time_h,time_s,GP_Ni,GP_Nierr,GP_Al,GP_Alerr,GP_Cr,GP_Crerr,GP_Re,GP_Reerr
0.06,216,72.68172322,0.845019344,19.43718413,1.000833164,6.25160917,0.594718758,1.629483481,0.303405553
0.25,900,73.5934564,1.220673803,19.08361331,1.092339579,5.744543238,0.637293617,1.57838705,0.367921434
1,3600,74.59838531,0.519300108,18.62665196,0.463651691,5.126710733,0.194843122,1.648251996,0.108720269
4,14400,74.96652269,0.275686348,18.48013546,0.246471489,5.118839413,0.138572183,1.434502437,0.077756502
16,57600,75.17124167,0.245343809,18.0857106,0.218583943,5.284352853,0.126765662,1.458694876,0.068853645
64,230400,75.2906319,0.105624809,18.05815759,0.094160277,5.339708792,0.055114498,1.311501725,0.02806932
256,921600,75.62322262,0.056116131,17.82075979,0.038521004,5.369781507,0.023020628,1.186236084,0.011224504
1024,3686400,75.70662602,0.085133285,17.77111641,0.057480685,5.377318931,0.035378471,1.144938639,0.017099831
