distance,Ni,Ni_Err,Al,Al_Err,Cr,Cr_Err,Re,Re_Err
-3.100004911,79.79098234,0.055347563,5.887125291,0.032561783,11.58110431,0.044057122,2.740788059,0.022478726
-2.900004864,79.83173077,0.055644266,5.930192308,0.03275351,11.54653846,0.044318153,2.691538462,0.022442639
-2.700004816,79.89740057,0.056068173,5.839673216,0.03280592,11.52257011,0.044669892,2.740356103,0.02283988
-2.500004768,79.92028735,0.056494613,5.93565033,0.033058844,11.49429402,0.044980736,2.6497683,0.023061797
-2.300004721,79.87876378,0.057102339,5.869285607,0.033478747,11.5592325,0.045540904,2.692718118,0.023055737
-2.100004673,80.12525402,0.057638385,5.614042532,0.033636494,11.55521208,0.046016102,2.705491373,0.0233535
-1.900004625,79.82888073,0.058498212,5.912880486,0.03438446,11.60410499,0.046689524,2.654133788,0.023432452
-1.700004578,80.04317077,0.058867595,5.815038181,0.034469537,11.5003471,0.046988831,2.641443943,0.023619796
-1.50000453,79.99329429,0.059810344,5.941257991,0.035342764,11.41736332,0.047546541,2.648084403,0.024004899
-1.300004482,80.14250074,0.060547655,6.000868112,0.036187521,11.24986466,0.047958078,2.606766482,0.023956589
-1.100004435,79.87329237,0.061935734,6.398138758,0.037802732,11.24619698,0.048803442,2.48237189,0.024034169
-0.900004447,79.86691716,0.062881188,6.846438337,0.039601735,10.86179254,0.048793822,2.424851966,0.024120947
-0.700004458,79.42180704,0.064256482,7.694134472,0.042001371,10.55260653,0.049009673,2.331451954,0.024071807
-0.50000447,79.0090982,0.06580486,8.770504019,0.045304197,10.00939428,0.048753886,2.211003499,0.023727202
-0.300004482,78.85716634,0.067588623,9.633394526,0.04883881,9.393374798,0.048290557,2.116064334,0.023822732
-0.100004479,78.04826587,0.069892939,11.19085093,0.053232599,8.777557282,0.047780968,1.98332592,0.023543134
0.099995524,77.33807724,0.072086342,12.71587132,0.057326651,8.062856719,0.046881111,1.883194722,0.023527564
0.299995542,76.67973645,0.074351615,14.09551014,0.061281778,7.486850174,0.046198146,1.737903238,0.022939242
0.49999553,75.96160144,0.076885448,15.47177537,0.065146609,6.948013378,0.045684836,1.618609816,0.022672869
0.699995518,75.62619479,0.078973,16.47307608,0.068230954,6.397793981,0.045013109,1.502935156,0.02238013
0.899995506,75.53296961,0.081594183,16.88412861,0.071345185,6.124223248,0.045260059,1.458678525,0.022783206
1.099995494,75.39463127,0.08341446,17.36505071,0.07347814,5.852927023,0.045338281,1.38739099,0.022671396
1.299995542,75.16591317,0.085516179,17.71391422,0.075584084,5.693544469,0.045864408,1.426628143,0.023390715
1.499995589,75.37203118,0.087548091,17.70595911,0.077565965,5.577990288,0.046634011,1.344019423,0.023398702
1.699995637,75.02015475,0.089987784,18.14429553,0.079980616,5.497895116,0.047510119,1.337654608,0.023945001
1.899995685,75.20816839,0.092108277,17.97030941,0.081951694,5.431033698,0.048342312,1.390488502,0.024710682
2.099995613,75.17105326,0.094765519,17.98675263,0.084321962,5.45445797,0.049812944,1.38773613,0.025293087
2.299995661,74.97928066,0.097041151,18.23051178,0.086363416,5.446801209,0.050981023,1.343406358,0.025862258
2.499995708,75.2152936,0.099856787,17.94668528,0.08894358,5.438771035,0.052449284,1.399250083,0.026190225
2.699995756,75.10990754,0.102914069,18.10457306,0.091749374,5.426826505,0.053922477,1.358692893,0.027050245
2.899995804,75.41646421,0.105459608,17.98549499,0.094067029,5.292109825,0.054832545,1.305930978,0.027805873
3.099995852,75.28926361,0.109176054,17.9804723,0.097202448,5.343208231,0.056923942,1.387055854,0.029602743
